classifier_name,dataset_name,accuracy
$ED_{I}$,AWR,0.97
$ED_{I}$,AF,0.267
$ED_{I}$,BM,0.676
$ED_{I}$,CT,0.964
$ED_{I}$,CK,0.944
$ED_{I}$,DDG,0.275
$ED_{I}$,EW,0.549
$ED_{I}$,EP,0.666
$ED_{I}$,EC,0.293
$ED_{I}$,ER,0.133
$ED_{I}$,FD,0.519
$ED_{I}$,FM,0.55
$ED_{I}$,HMD,0.278
$ED_{I}$,HW,0.2
$ED_{I}$,HB,0.619
$ED_{I}$,IW,0.128
$ED_{I}$,JV,0.924
$ED_{I}$,LIB,0.833
$ED_{I}$,LSST,0.456
$ED_{I}$,MI,0.51
$ED_{I}$,NATO,0.85
$ED_{I}$,PD,0.973
$ED_{I}$,PEMS,0.705
$ED_{I}$,PS,0.104
$ED_{I}$,RS,0.868
$ED_{I}$,SRS1,0.771
$ED_{I}$,SRS2,0.483
$ED_{I}$,SAD,0.967
$ED_{I}$,SWJ,0.2
$ED_{I}$,UW,0.881
$DTW_{I}$,AWR,0.98
$DTW_{I}$,AF,0.267
$DTW_{I}$,BM,1
$DTW_{I}$,CT,0.969
$DTW_{I}$,CK,0.986
$DTW_{I}$,DDG,0.55
$DTW_{I}$,EW,0
$DTW_{I}$,EP,0.978
$DTW_{I}$,EC,0.304
$DTW_{I}$,ER,0.133
$DTW_{I}$,FD,0
$DTW_{I}$,FM,0.52
$DTW_{I}$,HMD,0.306
$DTW_{I}$,HW,0.316
$DTW_{I}$,HB,0.658
$DTW_{I}$,IW,0
$DTW_{I}$,JV,0.959
$DTW_{I}$,LIB,0.894
$DTW_{I}$,LSST,0.575
$DTW_{I}$,MI,0
$DTW_{I}$,NATO,0.85
$DTW_{I}$,PD,0.939
$DTW_{I}$,PEMS,0.734
$DTW_{I}$,PS,0.151
$DTW_{I}$,RS,0.842
$DTW_{I}$,SRS1,0.765
$DTW_{I}$,SRS2,0.533
$DTW_{I}$,SAD,0.959
$DTW_{I}$,SWJ,0.333
$DTW_{I}$,UW,0.868
$DTW_{D}$,AWR,0.987
$DTW_{D}$,AF,0.22
$DTW_{D}$,BM,0.975
$DTW_{D}$,CT,0.989
$DTW_{D}$,CK,1
$DTW_{D}$,DDG,0.6
$DTW_{D}$,EW,0.618
$DTW_{D}$,EP,0.964
$DTW_{D}$,EC,0.323
$DTW_{D}$,ER,0.133
$DTW_{D}$,FD,0.529
$DTW_{D}$,FM,0.53
$DTW_{D}$,HMD,0.231
$DTW_{D}$,HW,0.286
$DTW_{D}$,HB,0.717
$DTW_{D}$,IW,0
